taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
4833639	Arctodus Leidy, 1854	4833639	Arctodus Leidy, 1854	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Ursidae	9681	Arctodus	4833639			
5220069	Lagenorhynchus obliquidens Gill, 1865	5220069	Lagenorhynchus obliquidens Gill, 1865	50	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Cetacea	733	Delphinidae	5314	Lagenorhynchus	2440608	Lagenorhynchus obliquidens	5220069	LC
5936116	Canis dirus (Leidy, 1858)	5936116	Canis dirus (Leidy, 1858)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Canidae	9701	Canis	5219142	Canis dirus	5936116	
4834682	Leptomerycidae	4834682	Leptomerycidae	1	FAMILY	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Leptomerycidae	4834682					
4972078	Procerberus formicarum Sloan & Van Valen, 1965	4972078	Procerberus formicarum Sloan & Van Valen, 1965	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359			Cimolestidae	4831679	Procerberus	4831688	Procerberus formicarum	4972078	
8933219	Marmota monax johnsoni Anderson, 1943	8933219	Marmota monax johnsoni Anderson, 1943	6	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Marmota	2437364	Marmota monax	2437368	
2434791	Phoca largha Pallas, 1811	2434791	Phoca largha Pallas, 1811	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Phocidae	5310	Phoca	2433485	Phoca largha	2434791	LC
7194108	Blarina brevicauda brevicauda	7194108	Blarina brevicauda brevicauda	128	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Soricomorpha	803	Soricidae	5534	Blarina	2435858	Blarina brevicauda	2435862	
7585445	Platacodon nanus Marsh, 1889	7585445	Platacodon nanus Marsh, 1889	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359					Platacodon	3240483	Platacodon nanus	7585445	
8531542	Edworthia lerbekmoi Fox et al., 2010	8531542	Edworthia lerbekmoi Fox et al., 2010	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Paromomyidae	4827420	Edworthia	8669723	Edworthia lerbekmoi	8531542	
8720385	Dicrostonyx groenlandicus kilangmiutak Anderson & Rand, 1945	2438391	Dicrostonyx groenlandicus (Traill, 1823)	28	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Dicrostonyx	2438382	Dicrostonyx groenlandicus	2438391	
8949290	Peromyscus leucopus caudatus A.Smith, 1939	2438019	Peromyscus leucopus (Rafinesque, 1818)	60	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Peromyscus	2437961	Peromyscus leucopus	2438019	
