code,gbifname,gbifid,equal
Taterillus_congicus,Taterillus congicus,2439219,true
Suncus_montanus,Suncus montanus,2435515,true
Habromys_lophurus,Habromys lophurus,2438987,true
Ctenomys_lami,Ctenomys lami,4263400,true
Pseudomys_fumeus,Pseudomys fumeus,5219786,true
Spermophilus_alashanicus,Spermophilus alashanicus,2437315,true
Antechinus_flavipes,Antechinus flavipes,2435366,true
Antidorcas_marsupialis,Antidorcas marsupialis,2441064,true
Petinomys_sagitta,Hylopetes sagitta,7829869,false
Hipposideros_bicolor,Hipposideros bicolor,5218592,true
Microgale_talazaci,Microgale talazaci,2432132,true
Dipodomys_elator,Dipodomys elator,2439549,true
Dendromus_ruppi,Dendromus ruppi,10803046,true
Epomophorus_angolensis,Epomophorus angolensis,2432786,true
Geomys_breviceps,Geomys breviceps,2439376,true
Zapus_princeps,Zapus princeps,2439473,true
Cryptotis_perijensis,Cryptotis perijensis,9130702,true
Sorex_caecutiens,Sorex caecutiens,2435994,true
Ovis_canadensis,Ovis canadensis,2441119,true
Millardia_meltada,Millardia meltada,5219777,true
Scolomys_ucayalensis,Scolomys ucayalensis,2439221,true
Gerbillus_floweri,Gerbillus floweri,2437804,true
Malacothrix_typica,Malacothrix typica,5219707,true
Tamias_quadrivittatus,Tamias quadrivittatus,2437437,true
Eligmodontia_moreni,Eligmodontia moreni,5219751,true
Ochotona_erythrotis,Ochotona erythrotis,2437001,true
Pipistrellus_wattsi,Pipistrellus wattsi,5707134,true
Equus_neogeus,Equus caballus,2440886,false
Baiyankamys_habbema,Baiyankamys habbema,5786677,true
Caenolestes_sangay,Caenolestes sangay,8808055,true
Avahi_meridionalis,Avahi meridionalis,5786034,true
Neotoma_martinensis,Neotoma martinensis,2438435,true
Platymops_setiger,Platymops setiger,7261921,true
Dermanura_toltecus,Artibeus toltecus,2433260,false
Ammospermophilus_nelsoni,Ammospermophilus nelsoni,2437569,true
Thomasomys_rosalinda,Thomasomys rosalinda,2439177,true
Pseudochirops_cupreus,Pseudochirops cupreus,2440077,true
Myodes_shanseius,Myodes shanseius,5706766,true
Mydaus_javanensis,Mydaus javanensis,2434845,true
Rhogeessa_aeneus,Rhogeessa aeneus,4266462,true
Pseudocheirus_occidentalis,Pseudocheirus peregrinus,2440062,false
Aeretes_melanopterus,Aeretes melanopterus,2437548,true
Sminthopsis_butleri,Sminthopsis butleri,2435392,true
Tamias_sibiricus,Tamias sibiricus,2437450,true
Blanfordimys_afghanus,Blanfordimys afghanus,2439282,true
Peromyscus_keeni,Peromyscus keeni,2437973,true
Hipposideros_lankadiva,Hipposideros lankadiva,5218555,true
Callicebus_brunneus,Plecturocebus brunneus,9410326,false
Echiothrix_leucura,Echiothrix leucura,2438047,true
Gazella_bennettii,Gazella bennettii,5220147,true
Talpa_europaea,Talpa europaea,7872906,true
Gazella_leptoceros,Gazella leptoceros,5220150,true
Acerodon_jubatus,Acerodon jubatus,5218703,true
Chiropodomys_karlkoopmani,Chiropodomys karlkoopmani,2438398,true
Sorex_fumeus,Sorex fumeus,2435947,true
Lenoxus_apicalis,Lenoxus apicalis,2438111,true
Rhinolophus_swinnyi,Rhinolophus swinnyi,2432672,true
Phloeomys_pallidus,Phloeomys pallidus,2438569,true
Dasymys_rufulus,Dasymys rufulus,2438419,true
Moschus_moschiferus,Moschus moschiferus,2440988,true
Taphozous_nudiventris,Taphozous nudiventris,5218737,true
Sousa_teuszii,Sousa teuszii,2440505,true
Hipposideros_doriae,Hipposideros doriae,5218603,true
Callithrix_aurita,Callithrix aurita,8827576,true
Myosciurus_pumilio,Myosciurus pumilio,2437288,true
Crocidura_nanilla,Crocidura nanilla,2435615,true
Praomys_petteri,Praomys petteri,4264881,true
Rhinolophus_euryotis,Rhinolophus euryotis,2432677,true
Peromyscus_polius,Peromyscus polius,2437969,true
Proechimys_urichi,Proechimys urichi,2439771,true
Bdeogale_crassicauda,Bdeogale crassicauda,2434117,true
Crocidura_hirta,Crocidura hirta,2435710,true
Proechimys_guyannensis,Proechimys guyannensis,4262966,true
Martes_gwatkinsii,Martes gwatkinsii,5218863,true
Handleyomys_fuscatus,Handleyomys fuscatus,4265181,true
Potos_flavus,Potos flavus,2433573,true
Redunca_arundinum,Redunca arundinum,2441037,true
Akodon_boliviensis,Akodon boliviensis,2437897,true
Rattus_arfakienis,Rattus arfakiensis,4264916,false
Melomys_bougainville,Melomys bougainville,2438999,true
Gorilla_beringei,Gorilla beringei,7262070,true
Eptesicus_pachyotis,Eptesicus pachyotis,2432378,true
Ochotona_macrotis,Ochotona macrotis,2436971,true
Nycteris_hispida,Nycteris hispida,5218608,true
Funisciurus_pyrropus,Funisciurus pyrropus,2437411,true
Procolobus_verus,Procolobus verus,2436597,true
Rhinolophus_acuminatus,Rhinolophus acuminatus,2432626,true
Crocidura_dsinezumi,Crocidura dsinezumi,2435532,true
Murina_harpioloides,Murina harpioloides,8377745,true
Euneomys_mordax,Euneomys mordax,2438877,true
Lutreolina_massoia,Lutreolina massoia,8814270,true
Lagenorhynchus_cruciger,Lagenorhynchus cruciger,5220066,true
Oxymycterus_delator,Oxymycterus delator,2438940,true
Otomops_johnstonei,Otomops johnstonei,4266493,true
Crocidura_lamottei,Crocidura lamottei,2435574,true
Sundasciurus_jentinki,Sundasciurus jentinki,2437482,true
Styloctenium_wallacei,Styloctenium wallacei,2432931,true
Megaladapis_edwardsi,Megaladapis edwardsi,4827198,true
Delomys_dorsalis,Delomys dorsalis,2438532,true
Mus_fernandoni,Mus fernandoni,2438804,true
Crocidura_phanluongi,Crocidura phanluongi,7751446,true
Rheomys_raptor,Rheomys raptor,2439348,true
Myodes_glareolus,Myodes glareolus,5706764,true
Spermophilus_taurensis,Spermophilus taurensis,9040543,true
Rhipidomys_emiliae,Rhipidomys emiliae,5706771,true
