from,to,score_normal,score,pair,int
Canis rufus,Microtus xanthognathus,0.82535,1.0,false,false
Canis rufus,Mus musculus,0.8043,1.0,false,false
Canis rufus,Mustela erminea,0.77995,1.0,false,false
Canis rufus,Mustela frenata,0.9455,1.0,false,false
Canis rufus,Mustela nigripes,0.7444,1.0,false,false
Canis rufus,Mustela nivalis,0.8969,1.0,false,false
Canis rufus,Mustela subpalmata,0.87275,1.0,false,false
Canis rufus,Myodes gapperi,0.92495,1.0,false,false
Canis rufus,Myodes rutilus,0.8929,1.0,false,false
Canis rufus,Napaeozapus insignis,0.98335,1.0,false,false
Canis rufus,Neovison vison,0.9071,1.0,false,false
Canis rufus,Ochotona collaris,0.8013,1.0,false,false
Canis rufus,Ochotona princeps,0.79195,1.0,false,false
Canis rufus,Ondatra zibethicus,0.9521,1.0,false,false
Canis rufus,Phenacomys intermedius,0.94285,1.0,false,false
Canis rufus,Phenacomys ungava,0.9334,1.0,false,false
Canis rufus,Poliocitellus franklinii,0.91735,1.0,false,false
Canis rufus,Sciurus niger,0.7903,1.0,false,false
Canis rufus,Sorex arcticus,0.86425,1.0,false,false
Canis rufus,Sorex haydeni,0.81415,1.0,false,false
Canis rufus,Sorex hoyi,0.89085,1.0,false,false
Canis rufus,Sorex maritimensis,0.8826,1.0,false,false
Canis rufus,Sorex merriami,0.91625,1.0,false,false
Canis rufus,Sorex trowbridgii,0.83455,1.0,false,false
Canis rufus,Sorex tundrensis,0.8312,1.0,false,false
Canis rufus,Synaptomys borealis,0.8767,1.0,false,false
Canis rufus,Synaptomys cooperi,0.81715,1.0,false,false
Canis rufus,Tamias amoenus,0.989,1.0,false,false
Canis rufus,Tamias townsendii,0.9506,1.0,false,false
Canis rufus,Tamiasciurus douglasii,0.81185,1.0,false,false
Canis rufus,Tamiasciurus hudsonicus,0.7561,1.0,false,false
Canis rufus,Taxidea taxus,0.7682,1.0,false,false
Canis rufus,Urocitellus columbianus,0.76235,1.0,false,false
Canis rufus,Urocitellus parryii,0.795,1.0,false,false
Canis rufus,Urocitellus richardsonii,0.76225,1.0,false,false
Canis rufus,Urocyon cinereoargenteus,0.93155,1.0,false,false
Canis rufus,Vulpes lagopus,0.93465,1.0,false,false
Canis rufus,Vulpes velox,0.8435,1.0,false,false
Canis rufus,Zapus hudsonius,0.96985,1.0,false,false
Canis rufus,Zapus princeps,0.9447,1.0,false,false
Canis rufus,Zapus trinotatus,0.9706,1.0,false,false
Gulo gulo,Dicrostonyx groenlandicus,0.84825,1.0,false,false
Gulo gulo,Dicrostonyx hudsonius,0.86835,1.0,false,false
Gulo gulo,Dicrostonyx nunatakensis,0.83905,1.0,false,false
